# train_acc test_acc
2.000000000000000111e-01 2.000000000000000111e-01
5.510000000000000453e-01 5.320000000000000284e-01
7.550000000000000044e-01 7.439999999999999947e-01
7.780000000000000249e-01 7.680000000000000160e-01
8.649999999999999911e-01 8.639999999999999902e-01
8.149999999999999467e-01 8.000000000000000444e-01
8.860000000000000098e-01 8.920000000000000151e-01
8.960000000000000187e-01 9.000000000000000222e-01
8.850000000000000089e-01 9.000000000000000222e-01
8.830000000000000071e-01 8.920000000000000151e-01
9.030000000000000249e-01 9.120000000000000329e-01
9.020000000000000240e-01 9.080000000000000293e-01
9.040000000000000258e-01 9.040000000000000258e-01
9.070000000000000284e-01 9.160000000000000364e-01
9.020000000000000240e-01 9.200000000000000400e-01
8.960000000000000187e-01 9.040000000000000258e-01
9.020000000000000240e-01 9.080000000000000293e-01
8.960000000000000187e-01 9.160000000000000364e-01
9.080000000000000293e-01 9.120000000000000329e-01
9.090000000000000302e-01 9.080000000000000293e-01
9.090000000000000302e-01 9.160000000000000364e-01
9.070000000000000284e-01 9.160000000000000364e-01
8.940000000000000169e-01 9.040000000000000258e-01
9.080000000000000293e-01 9.200000000000000400e-01
9.000000000000000222e-01 9.200000000000000400e-01
9.060000000000000275e-01 9.080000000000000293e-01
8.960000000000000187e-01 9.160000000000000364e-01
9.020000000000000240e-01 9.200000000000000400e-01
9.150000000000000355e-01 9.240000000000000435e-01
8.810000000000000053e-01 8.920000000000000151e-01
9.110000000000000320e-01 9.160000000000000364e-01
9.030000000000000249e-01 9.000000000000000222e-01
9.140000000000000346e-01 9.200000000000000400e-01
9.100000000000000311e-01 9.040000000000000258e-01
9.150000000000000355e-01 9.160000000000000364e-01
9.100000000000000311e-01 9.240000000000000435e-01
8.810000000000000053e-01 8.559999999999999831e-01
9.040000000000000258e-01 9.160000000000000364e-01
9.050000000000000266e-01 9.120000000000000329e-01
9.140000000000000346e-01 9.200000000000000400e-01
9.100000000000000311e-01 9.120000000000000329e-01
9.060000000000000275e-01 9.200000000000000400e-01
9.150000000000000355e-01 9.160000000000000364e-01
9.160000000000000364e-01 9.200000000000000400e-01
9.080000000000000293e-01 9.000000000000000222e-01
9.140000000000000346e-01 9.200000000000000400e-01
9.070000000000000284e-01 9.160000000000000364e-01
9.130000000000000338e-01 9.160000000000000364e-01
9.140000000000000346e-01 9.160000000000000364e-01
9.100000000000000311e-01 9.160000000000000364e-01
9.030000000000000249e-01 9.160000000000000364e-01
