# train_acc test_acc
6.533333333333332660e-02 7.399999999999999634e-02
5.100000000000000089e-01 5.200000000000000178e-01
5.143333333333333091e-01 5.160000000000000142e-01
5.846666666666666679e-01 6.099999999999999867e-01
6.223333333333332940e-01 6.199999999999999956e-01
6.430000000000000160e-01 6.500000000000000222e-01
6.430000000000000160e-01 6.560000000000000275e-01
7.169999999999999707e-01 7.159999999999999698e-01
7.663333333333333108e-01 7.560000000000000053e-01
6.746666666666666368e-01 6.440000000000000169e-01
7.616666666666667140e-01 7.660000000000000142e-01
7.166666666666666741e-01 7.039999999999999591e-01
7.760000000000000231e-01 7.840000000000000302e-01
7.850000000000000311e-01 7.780000000000000249e-01
7.503333333333332966e-01 7.439999999999999947e-01
7.496666666666667034e-01 7.259999999999999787e-01
7.713333333333333153e-01 7.800000000000000266e-01
7.866666666666666252e-01 7.880000000000000338e-01
7.419999999999999929e-01 7.199999999999999734e-01
7.933333333333333348e-01 7.860000000000000320e-01
7.656666666666667176e-01 7.820000000000000284e-01
7.486666666666667025e-01 7.259999999999999787e-01
7.743333333333333179e-01 7.500000000000000000e-01
7.940000000000000391e-01 7.740000000000000213e-01
7.820000000000000284e-01 7.820000000000000284e-01
8.153333333333333544e-01 7.960000000000000409e-01
7.466666666666667007e-01 7.419999999999999929e-01
7.893333333333333313e-01 7.660000000000000142e-01
7.966666666666666341e-01 7.700000000000000178e-01
7.800000000000000266e-01 7.720000000000000195e-01
8.076666666666666439e-01 8.040000000000000480e-01
8.136666666666666492e-01 8.060000000000000497e-01
8.076666666666666439e-01 8.020000000000000462e-01
8.023333333333333428e-01 8.040000000000000480e-01
7.776666666666666172e-01 7.600000000000000089e-01
8.040000000000000480e-01 7.880000000000000338e-01
8.136666666666666492e-01 7.720000000000000195e-01
8.196666666666666545e-01 8.020000000000000462e-01
8.319999999999999618e-01 8.219999999999999529e-01
8.279999999999999583e-01 8.179999999999999494e-01
8.083333333333333481e-01 7.760000000000000231e-01
8.136666666666666492e-01 7.820000000000000284e-01
8.093333333333333490e-01 7.860000000000000320e-01
7.990000000000000435e-01 7.940000000000000391e-01
8.263333333333333641e-01 8.219999999999999529e-01
8.129999999999999449e-01 7.860000000000000320e-01
8.416666666666666741e-01 8.319999999999999618e-01
7.950000000000000400e-01 7.820000000000000284e-01
8.183333333333333570e-01 7.760000000000000231e-01
8.096666666666666456e-01 7.720000000000000195e-01
8.343333333333333712e-01 8.120000000000000551e-01
