# train_acc test_acc
9.500000000000000111e-02 8.400000000000000522e-02
4.600000000000000200e-01 4.440000000000000058e-01
6.119999999999999885e-01 5.839999999999999636e-01
6.400000000000000133e-01 6.159999999999999920e-01
6.366666666666667140e-01 6.039999999999999813e-01
6.853333333333333499e-01 6.700000000000000400e-01
7.213333333333333819e-01 7.059999999999999609e-01
7.393333333333332869e-01 7.159999999999999698e-01
7.246666666666666812e-01 7.319999999999999840e-01
7.660000000000000142e-01 7.500000000000000000e-01
7.483333333333332948e-01 7.219999999999999751e-01
7.826666666666666217e-01 7.780000000000000249e-01
7.846666666666666234e-01 7.860000000000000320e-01
7.846666666666666234e-01 7.580000000000000071e-01
8.003333333333333410e-01 7.740000000000000213e-01
7.686666666666667203e-01 7.500000000000000000e-01
8.226666666666666572e-01 8.120000000000000551e-01
8.216666666666666563e-01 7.980000000000000426e-01
8.030000000000000471e-01 7.920000000000000373e-01
8.419999999999999707e-01 8.139999999999999458e-01
8.266666666666666607e-01 8.159999999999999476e-01
8.199999999999999512e-01 8.100000000000000533e-01
8.483333333333333837e-01 8.279999999999999583e-01
8.296666666666666634e-01 8.219999999999999529e-01
8.513333333333333863e-01 8.459999999999999742e-01
8.526666666666666838e-01 8.499999999999999778e-01
8.399999999999999689e-01 8.359999999999999654e-01
8.556666666666666865e-01 8.479999999999999760e-01
8.843333333333333046e-01 8.760000000000000009e-01
8.863333333333333064e-01 8.659999999999999920e-01
8.796666666666667078e-01 8.659999999999999920e-01
8.780000000000000027e-01 8.599999999999999867e-01
8.756666666666667043e-01 8.699999999999999956e-01
8.579999999999999849e-01 8.439999999999999725e-01
8.783333333333332993e-01 8.639999999999999902e-01
8.719999999999999973e-01 8.499999999999999778e-01
8.820000000000000062e-01 8.619999999999999885e-01
8.863333333333333064e-01 8.800000000000000044e-01
8.893333333333333091e-01 8.679999999999999938e-01
8.963333333333333153e-01 8.820000000000000062e-01
9.030000000000000249e-01 8.800000000000000044e-01
8.943333333333333135e-01 8.739999999999999991e-01
9.090000000000000302e-01 8.940000000000000169e-01
8.733333333333332948e-01 8.820000000000000062e-01
8.943333333333333135e-01 8.679999999999999938e-01
9.106666666666666243e-01 8.920000000000000151e-01
8.970000000000000195e-01 8.960000000000000187e-01
9.153333333333333321e-01 9.080000000000000293e-01
9.053333333333333233e-01 8.900000000000000133e-01
9.060000000000000275e-01 8.920000000000000151e-01
9.153333333333333321e-01 9.020000000000000240e-01
